code;control_digit;name_de;name_en
03222311;6;Korinthen;Currants
03222312;3;Stachelbeeren;Gooseberries
03222313;0;Erdbeeren;Strawberries
03222314;7;Himbeeren;Raspberries
03222315;4;Preiselbeeren;Cranberries
03222320;2;Äpfel, Birnen und Quitten;Apples, pears and quinces
03222321;9;Äpfel;Apples
03222322;6;Birnen;Pears
03222323;3;Quitten;Quinces
03222330;5;Steinobst;Stone fruit
03222331;2;Aprikosen/Marillen;Apricots
03222332;9;Pfirsiche;Peaches
03222333;6;Kirschen;Cherries
03222334;3;Pflaumen;Plums
03222340;8;Trauben;Grapes
03222341;5;Tafeltrauben;Table grapes
03222342;2;Weintrauben;Wine grapes
03222400;7;Oliven;Olives
03300000;2;Landwirtschafts-, Jagd- und Fischereierzeugnisse;Farming, hunting and fishing products
03310000;5;Fische, Krebstiere und Aquakulturerzeugnisse;Fish, crustaceans and aquatic products
03311000;2;Fisch;Fish
03311100;3;Plattfisch;Flat fish
03311110;6;Seezunge;Sole
03311120;9;Scholle;Plaice
03311200;4;Fische der Kabeljaufamilie;Fish of the cod family
03311210;7;Kabeljau;Cod
03311220;0;Pollack;Pollock
03311230;3;Seehecht;Hake
03311240;6;Schellfisch;Haddock
03311300;5;Hering;Herring
03311400;6;Thunfisch;Tuna
03311500;7;Wittling;Whiting
03311600;8;Breitling;Whitebait
03311700;9;Lachs;Salmon
03312000;9;Krebstiere;Crustaceans
03312100;0;Austern;Oysters
03312200;1;Weichtiere;Shellfish
03312300;2;Wirbellose Wassertiere;Aquatic invertebrates
03313000;6;Wassertiere und -pflanzen;Aquatic products
03313100;7;Korallen und ähnliche Erzeugnisse;Corals or similar products
03313200;8;Meerschwämme;Natural sponges
03313300;9;Meerespflanzen;Seaweeds
03313310;2;Algen;Algae
03320000;8;Rinder, anderes Großvieh sowie Kleinvieh;Cattle, livestock and small animals
03321000;5;Rinder;Cattle
03321100;6;Großrinder;Bovine cattle
03321200;7;Kälber;Calves
03322000;2;Vieh;Livestock
03322100;3;Schafe;Sheep
03322200;4;Ziegen;Goats
03322300;5;Pferde;Horses
03323000;9;Schweine;Pigs
03324000;6;Geflügel, lebend;Live poultry
03325000;3;Kleinvieh;Small animals
03325100;4;Kaninchen;Rabbits
03325200;5;Hasen;Hares
03330000;3;Landwirtschaftliche Erzeugnisse der Tierhaltung;Farm animal products
03331000;0;Frische Milch von Schafen und Ziegen;Fresh milk from sheep and goats
03331100;1;Schafsmilch;Sheep's milk
03331200;2;Ziegenmilch;Goats' milk
03332000;7;Wolle und Tierhaar;Wool and animal hair
03332100;8;Schurwolle;Shorn wool
03332200;9;Tierhaar;Animal hair
03333000;4;Frische Kuhmilch;Fresh cows' milk
03340000;6;Ohrmarken für Tiere;Animal ear tags
03341000;3;Ohrmarken für Rinder;Bovine ear tags
03400000;4;Erzeugnisse der Forst- und Holzwirtschaft;Forestry and logging products
03410000;7;Holz;Wood
03411000;4;Nadelholz;Coniferous wood
03412000;1;Tropenholz;Tropical wood
03413000;8;Brennholz;Fuel wood
03414000;5;Rohholz;Rough wood
03415000;2;Weichholz;Softwood
03416000;9;Holzabfall;Wood waste
03417000;6;Holzschnitzel;Scrap wood
03417100;7;Sägespäne;Sawdust
03418000;3;Stammholz;Logs
03418100;4;Laubholz;Hardwood
03419000;0;Nutzholz;Timber
03419100;1;Nutzholzerzeugnisse;Timber products
03419200;2;Grubenholz;Mining timber
03420000;0;Gummistoffe;Gums
03421000;7;Balsame;Balsams
03422000;4;Stocklack;Lac
03430000;3;Kork;Cork
03431000;0;Naturkork;Natural cork
03432000;7;Korbwaren;Basketware
03432100;8;Flechtwerk;Wickerwork
03440000;6;Forstwirtschaftliche Erzeugnisse;Forestry products
03441000;3;Zierpflanzen, -gräser, -moose oder -flechten;Ornamental plants, grasses, mosses or lichens
03450000;9;Erzeugnisse von Forstbaumschulen;Tree-nursery products
03451000;6;Pflanzen;Plants
03451100;7;Setzlinge;Bedding plants
03451200;8;Blumenzwiebeln;Flower bulbs
03451300;9;Sträucher;Shrubs
03452000;3;Bäume;Trees
03460000;2;Zellstoff;Pulp
03461000;9;Holzstoff;Wood pulp
03461100;0;Chemiepulpe;Chemical wood pulp
09000000;3;Mineralölerzeugnisse, Brennstoff, Elektrizität und andere Energiequellen;Petroleum products, fuel, electricity and other sources of energy
09100000;0;Brennstoffe;Fuels
09110000;3;Feste Brennstoffe;Solid fuels
09111000;0;Steinkohle und aus Steinkohle gewonnene Brennstoffe;Coal and coal-based fuels
09111100;1;Kohle;Coal
09111200;2;Aus Kohle gewonnene Brennstoffe;Coal-based fuels
09111210;5;Steinkohle;Hard coal
09111220;8;Briketts;Briquettes
09111300;3;Fossile Brennstoffe;Fossil fuels
09111400;4;Brennstoffe auf Holzbasis;Wood fuels
09112000;7;Braunkohle und Torf;Lignite and peat
09112100;8;Braunkohle;Lignite
09112200;9;Torf;Peat
09113000;4;Koks;Coke
09120000;6;Gasförmige Brennstoffe;Gaseous fuels
09121000;3;Kohlegas, Hauptgas oder ähnliche Gase;Coal gas, mains gas or similar gases
09121100;4;Steinkohlengas oder ähnliche Gase;Coal gas or similar gases
09121200;5;Gas für das Leitungsnetz;Mains gas
09122000;0;Propan und Butan;Propane and butane
09122100;1;Propangas;Propane gas
09122110;4;Verflüssigtes Propangas;Liquefied propane gas
09122200;2;Butangas;Butane gas
09122210;5;Verflüssigtes Butangas;Liquefied butane gas
09123000;7;Erdgas;Natural gas
09130000;9;Mineralöl und Destillate;Petroleum and distillates
09131000;6;Flugzeugkerosin;Aviation kerosene
09131100;7;Kerosinartige Flugturbinenkraftstoffe;Kerosene jet type fuels
09132000;3;Benzin;Petrol
09132100;4;Bleifreies Benzin;Unleaded petrol
09132200;5;Verbleite Benzine;Leaded petrol
09132300;6;Kraftstoff mit Ethanol;Petrol with ethanol
09133000;0;Verflüssigtes Petroleumgas (LPG);Liquefied Petroleum Gas (LPG)
09134000;7;Gasöle;Gas oils
09134100;8;Dieselöl;Diesel oil
09134200;9;Dieselkraftstoff;Diesel fuel
09134210;2;Dieselkraftstoff (0,2);Diesel fuel (0,2)
09134220;5;Dieselkraftstoff (EN 590);Diesel fuel (EN 590)
09134230;8;Biodiesel;Biodiesel
09134231;5;Biodiesel (B20);Biodiesel (B20)
09134232;2;Biodiesel (B100);Biodiesel (B100)
09135000;4;Heizöle;Fuel oils
09135100;5;Heizöl;Heating oil
09135110;8;Schwefelarme brennbare Öle;Low-sulphur combustible oils
09200000;1;Mineralöl-, Kohle- und Erdölerzeugnisse;Petroleum, coal and oil products
09210000;4;Schmierpäparate;Lubricating preparations
09211000;1;Schmieröle und Schmierstoffe;Lubricating oils and lubricating agents
09211100;2;Motorenöle;Motor oils
09211200;3;Kompressorenöle;Compressor lube oils
09211300;4;Turbinenöle;Turbine lube oils
09211400;5;Getriebeöle;Gear oils
09211500;6;Getriebeöle (für Reduktoren);Reductor oils
09211600;7;Öle zur Verwendung in hydraulischen Systemen sowie zu anderer Verwendung;Oils for use in hydraulic systems and other purposes
09211610;0;Flüssigkeiten für hydraulische Anwendungen;Liquids for hydraulic purposes
09211620;3;Formöle;Mould release oils
09211630;6;Korrosionsschutzöle;Anti-corrosion oils
09211640;9;Elektroisolieröle;Electrical insulating oils
09211650;2;Bremsflüssigkeiten;Brake fluids
09211700;8;Weißöle und flüssiges Paraffin;White oils and liquid paraffin
09211710;1;Weißöle;White oils
09211720;4;Paraffinum liquidum;Liquid paraffin
09211800;9;Mineralöle und Erdölpräparate;Petroleum oils and preparations
09211810;2;Leichtöle;Light oils
09211820;5;Mineralöle;Petroleum oils
09211900;0;Schmieröle für Traktion;Lubricating traction oils
09220000;7;Petroleumgel, Wachse und Spezialbenzine;Petroleum jelly, waxes and special spirits
09221000;4;Rohvaseline und Mineralölparaffine;Petroleum jelly and waxes
09221100;5;Rohvaseline;Petroleum jelly
09221200;6;Paraffin;Paraffin wax
09221300;7;Mineralölparaffin;Petroleum wax
09221400;8;Erdölrückstände;Petroleum residues
09222000;1;Spezialbenzine;Special spirits
09222100;2;Testbenzin;White spirit
09230000;0;Rohöl;Petroleum (crude)
09240000;3;Öl und Kohleprodukte;Oil and coal-related products
09241000;0;Bituminöser Schiefer oder Ölschiefer;Bituminous or oil shale
09242000;7;Kohleprodukte;Coal-related products
09242100;8;Petroleum;Coal oil
09300000;2;Elektrizität, Heizung, Sonnen- und Kernenergie;Electricity, heating, solar and nuclear energy
09310000;5;Elektrizität;Electricity
09320000;8;Dampf, Warmwasser und zugehörige Produkte;Steam, hot water and associated products
09321000;5;Warmwasser;Hot water
09322000;2;Dampf;Steam
09323000;9;Fernwärme;District heating
09324000;6;Fernheizung;Long-distance heating
09330000;1;Solarenergie;Solar energy
09331000;8;Solarbatterien;Solar panels
09331100;9;Thermische Sonnenkollektoren;Solar collectors for heat production
09331200;0;Photovoltaische Solarmodule/Solarzellen;Solar photovoltaic modules
09332000;5;Sonnenenergieanlage;Solar installation
09340000;4;Kernbrennstoffe;Nuclear fuels
09341000;1;Uran;Uranium
09342000;8;Plutonium;Plutonium
09343000;5;Radioaktive Stoffe;Radioactive materials
09344000;2;Radioisotope;Radio-isotopes
14000000;1;Bergbau, Basismetalle und zugehörige Erzeugnisse;Mining, basic metals and related products
14200000;3;Sand und Ton;Sand and clay
14210000;6;Kies, Sand, Schotter und Aggregate;Gravel, sand, crushed stone and aggregates
14211000;3;Sand;Sand
14211100;4;Natursand;Natural sand
14212000;0;Körnungen, Splitt, Steinmehl, Kiesel, Kies, Schotter und Kleinschlag, Steingemische, Kiessandgemische und andere Aggregate;Granules, chippings, stone powder, pebbles, gravel, broken and crushed stone, stone mixtures, sand-gravel mixtures and other aggregates
14212100;1;Kiesel und Kies;Pebbles and gravel
14212110;4;Kiesel;Pebbles
14212120;7;Kies;Gravel
14212200;2;Zuschlagstoffe;Aggregates
14212210;5;Kiessandgemisch;Sand-gravel mix
14212300;3;Schotter und Kleinschlag;Broken and crushed stone
14212310;6;Steinschlag;Ballast
14212320;9;Granitschotter;Crushed granite
14212330;2;Basaltschotter;Crushed basalt
14212400;4;Boden;Soil
14212410;7;Mutterboden;Topsoil
14212420;0;Unterboden;Subsoil
14212430;3;Steinsplitt;Stone chippings
14213000;7;Makadam, Teermakadam und Ölsand;Macadam, tarmac and tar sands
14213100;8;Makadam;Macadam
14213200;9;Teermakadam;Tarmac
14213300;0;Ölsand;Tar sands
14220000;9;Ton und Kaolin;Clay and kaolin
14221000;6;Ton;Clay
14222000;3;Kaolin;Kaolin
14300000;4;Chemische Mineralien und Düngemittelmineralien;Chemical and fertiliser minerals
14310000;7;Düngemittelmineralien;Fertiliser minerals
14311000;4;Natürliches Kalzium, Aluminiumkalziumphosphat und rohe natürliche Kaliumsalze;Natural calcium, aluminium calcium phosphate and crude natural potassium salts
14311100;5;Natürliches Kalzium;Natural calcium
14311200;6;Aluminiumkalziumphosphate;Aluminium calcium phosphates
14311300;7;Rohe natürliche Kaliumsalze;Crude natural potassium salts
14312000;1;Eisenpyrit;Iron pyrites
14312100;2;Nicht gerösteter Schwefelkies;Unroasted iron pyrites
14320000;0;Chemische Mineralien;Chemical minerals
14400000;5;Salz und reines Natriumchlorid;Salt and pure sodium chloride
14410000;8;Steinsalz;Rock salt
14420000;1;Meersalz;Sea salt
14430000;4;Siedesalz und reines Natriumchlorid;Evaporated salt and pure sodium chloride
14450000;0;Salzlake;Salt in brine
14500000;6;In Bergwerken und Steinbrüchen gewonnene Erzeugnisse;Related mining and quarrying products
14520000;2;"Edelsteine und Schmucksteine; Bimsstein; Schmirgel; natürliche Schleifstoffe; andere Mineralien und Edelmetalle";Precious and semi-precious stones, pumice stone, emery, natural abrasives, other minerals and precious metals
14521000;9;Edelsteine und Schmucksteine;Precious and semi-precious stones
14521100;0;Edelsteine;Precious stones
14521140;2;Staub oder Pulver von Edelsteinen;Dust or powder of precious stones
14521200;1;Schmucksteine;Semi-precious stones
14521210;4;Staub oder Pulver von Schmucksteinen;Dust or powder of semi-precious stones
14522000;6;"Industriediamanten; Bimsstein; Schmirgel und andere natürliche Schleifstoffe";Industrial diamonds, pumice stone, emery and other natural abrasives
14522100;7;Bimsstein;Pumice stone
14522200;8;Industriediamanten;Industrial diamonds
14522300;9;Schmirgel;Emery
14522400;0;Natürliche Schleifstoffe;Natural abrasives
14523000;3;Mineralien, Edelmetalle und zugehörige Erzeugnisse;Related minerals, precious metals and associated products
14523100;4;Mineralien;Minerals
14523200;5;Gold;Gold
14523300;6;Silber;Silver
14523400;7;Platin;Platinum
14600000;7;Metallerze und Legierungen;Metal ores and alloys
14610000;0;Metallerze;Metal ores
14611000;7;Eisenerze;Iron ores
14612000;4;NE-Metallerze;Non-ferrous metal ores
14612100;5;Kupfererze;Copper ores
14612200;6;Nickelerze;Nickel ores
14612300;7;Aluminiumerze;Aluminium ores
14612400;8;Edelmetallerze;Precious-metal ores
14612500;9;Bleierze;Lead ores
14612600;0;Zinkerze;Zinc ores
14612700;1;Zinnerze;Tin ores
14613000;1;Uran- und Thoriumerze;Uranium and thorium ores
14613100;2;Uranerze;Uranium ores
14613200;3;Thoriumerze;Thorium ores
14614000;8;Verschiedene Erze;Miscellaneous ores
14620000;3;Legierungen;Alloys
14621000;0;Ferrolegierungen;Ferro-alloys
14621100;1;Nicht-EGKS-Ferrolegierungen;Non-ECSC ferro-alloys
14621110;4;Ferromangan;Ferro-manganese
14621120;7;Ferrochrom;Ferro-chromium
14621130;0;Ferronickel;Ferro-nickel
14622000;7;Stahl;Steel
14630000;6;Schlacken, Metallschlacken, Eisenabfälle und Eisenschrott;Slag, dross, ferrous waste and scrap
14700000;8;Grundmetalle;Basic metals
14710000;1;Eisen, Blei, Zink, Zinn und Kupfer;Iron, lead, zinc, tin and copper
14711000;8;Eisen;Iron
14711100;9;Roheisen;Pig iron
14712000;5;Blei;Lead
14713000;2;Zink;Zinc
14714000;9;Zinn;Tin
14715000;6;Kupfer;Copper
14720000;4;Aluminium, Nickel, Scandium, Titan und Vanadium;Aluminium, nickel, scandium, titanium and vanadium
14721000;1;Aluminium;Aluminium
14721100;2;Aluminiumoxid;Aluminium oxide
14722000;8;Nickel;Nickel
14723000;5;Scandium;Scandium
14724000;2;Titan;Titanium
14725000;9;Vanadium;Vanadium
14730000;7;Chrom, Mangan, Kobalt, Yttrium und Zirkonium;Chromium, manganese, cobalt, yttrium and zirconium
14731000;4;Chrom;Chromium
14732000;1;Mangan;Manganese
14733000;8;Kobalt;Cobalt
14734000;5;Yttrium;Yttrium
14735000;2;Zirkonium;Zirconium
14740000;0;Molybdän, Technetium, Ruthenium und Rhodium;Molybdenum, technetium, ruthenium and rhodium
14741000;7;Molybdän;Molybdenum
14742000;4;Technetium;Technetium
14743000;1;Ruthenium;Ruthenium
14744000;8;Rhodium;Rhodium
14750000;3;Kadmium, Lutetium, Hafnium, Tantal und Wolfram;Cadmium, lutetium, hafnium, tantalum and tungsten
14751000;0;Kadmium;Cadmium
14752000;7;Lutetium;Lutetium
14753000;4;Hafnium;Hafnium
14754000;1;Tantal;Tantalum
14755000;8;Wolfram;Tungsten
14760000;6;Iridium, Gallium, Indium, Thallium und Barium;Iridium, gallium, indium, thallium and barium
14761000;3;Iridium;Iridium
14762000;0;Gallium;Gallium
14763000;7;Indium;Indium
14764000;4;Thallium;Thallium
14765000;1;Barium;Barium
14770000;9;Cäsium, Strontium, Rubidium und Kalzium;Caesium, strontium, rubidium and calcium
14771000;6;Cäsium;Caesium
14772000;3;Strontium;Strontium
14773000;0;Rubidium;Rubidium
14774000;7;Kalzium;Calcium
14780000;2;Kalium, Magnesium, Natrium und Lithium;Potassium, magnesium, sodium and lithium
14781000;9;Kalium;Potassium
14782000;6;Magnesium;Magnesium
14783000;3;Natrium;Sodium
14784000;0;Lithium;Lithium
14790000;5;Niobium, Osmium, Rhenium und Palladium;Niobium, osmium, rhenium and palladium
14791000;2;Niobium;Niobium
14792000;9;Osmium;Osmium
14793000;6;Rhenium;Rhenium
14794000;3;Palladium;Palladium
14800000;9;Diverse nichtmetallische Mineralprodukte;Miscellaneous non-metallic mineral products
14810000;2;Schleifmittel;Abrasive products
14811000;9;Mühlsteine, Mahlsteine und Schleifscheiben;Millstones, grindstones and grinding wheels
14811100;0;Mühlsteine;Millstones
14811200;1;Mahlsteine;Grindstones
14811300;2;Schleifscheiben;Grinding wheels
14812000;6;Schleifpulver oder Schleifkorn;Abrasive powder or grain
14813000;3;Künstlicher Korund;Artificial corundum
14814000;0;Künstlicher Grafit;Artificial graphite
14820000;5;Glas;Glass
14830000;8;Glasfasern;Fibreglass
14900000;0;Wiedergewonnene Sekundärrohstoffe;Recovered secondary raw materials
14910000;3;Wiedergewonnene metallische Sekundärrohstoffe;Recovered secondary metal raw materials
14920000;6;Wiedergewonnene nichtmetallische Sekundärrohstoffe;Recovered secondary non-metal raw materials
14930000;9;Asche und Rückstände mit Metallgehalt;Ash and residues containing metals
15000000;8;Nahrungsmittel, Getränke, Tabak und zugehörige Erzeugnisse;Food, beverages, tobacco and related products
15100000;9;Tierische Erzeugnisse, Fleisch und Fleischerzeugnisse;Animal products, meat and meat products
15110000;2;Fleisch;Meat
15111000;9;Rind- und Kalbfleisch;Bovine meat
15111100;0;Rindfleisch;Beef
15111200;1;Kalbfleisch;Veal
15112000;6;Geflügel;Poultry
15112100;7;Frisches Geflügel;Fresh poultry
15112110;0;Gänse;Geese
15112120;3;Puten;Turkeys
15112130;6;Hühner;Chickens
15112140;9;Enten;Ducks
15112300;9;Geflügelleber;Poultry livers
15112310;2;Foie gras;Foie gras
15113000;3;Schweinefleisch;Pork
15114000;0;Innereien;Offal
15115000;7;Lamm- und Schaffleisch;Lamb and mutton
15115100;8;Lammfleisch;Lamb
15115200;9;Schaffleisch;Mutton
15117000;1;Ziegenfleisch;Goat meat
15118000;8;Fleisch von Pferden, Eseln, Maultieren oder Mauleseln;Horse, ass, mule or hinny meat
15118100;9;Pferdefleisch;Horsemeat
15118900;7;Fleisch von Eseln, Maultieren oder Mauleseln;Ass, mule or hinny meat
15119000;5;Verschiedenes Fleisch;Various meats
15119100;6;Kaninchenfleisch;Rabbit meat
15119200;7;Hasenfleisch;Hare meat
15119300;8;Wild;Game
15119400;9;Froschschenkel;Frogs' legs
15119500;0;Tauben;Pigeons
15119600;1;Fischfleisch;Fish meat
15130000;8;Fleischerzeugnisse;Meat products
15131000;5;Fleischkonserven und -zubereitungen;Meat preserves and preparations
15131100;6;Wurstfleischerzeugnisse;Sausage-meat products
15131110;9;Wurstfleisch;Sausage meat
15131120;2;Wurstwaren;Sausage products
15131130;5;Würste;Sausages
15131134;3;Blutwürste;Black pudding and other blood sausages
15131135;0;Geflügelwürste;Poultry sausages
15131200;7;Getrocknetes, eingesalzenes, geräuchertes oder gewürztes Fleisch;Dried, salted, smoked or seasoned meat
15131210;0;Räucherschinken;Gammon
15131220;3;Speck;Bacon
15131230;6;Salami;Salami
15131300;8;Zubereitungen aus Leber;Liver preparations
15131310;1;Pastete;Pâté
15131320;4;Zubereitungen aus Gänse- und Entenleber;Preparations of goose or duck liver
15131400;9;Schweinefleischerzeugnisse;Pork products
15131410;2;Schinken;Ham
15131420;5;Buletten;Meatballs
15131490;6;Fertiggerichte aus Schweinefleisch;Prepared pork dishes
15131500;0;Geflügelerzeugnisse;Poultry products
15131600;1;Erzeugnisse aus Rind- und Kalbfleisch;Beef and veal products
15131610;4;Buletten aus Rindfleisch;Beef meatballs
15131620;7;Rinderhackfleisch/Rinderfaschiertes;Minced beef
15131640;3;Hamburger aus Rindfleisch;Beefburgers
15131700;2;Fleischzubereitungen;Meat preparations
15200000;0;Zubereiteter Fisch und Fischkonserven;Prepared and preserved fish
15210000;3;Fischfilets, Fischleber und Fischrogen;Fish fillets, fish livers and roe
15211000;0;Fischfilets;Fish fillets
15211100;1;Frische Fischfilets;Fresh fish fillets
15212000;7;Fischrogen;Fish roe
15213000;4;Fischleber;Fish livers
15220000;6;Tiefgekühlter Fisch, Fischfilets und andere Fischteile;Frozen fish, fish fillets and other fish meat
15221000;3;Tiefgekühlter Fisch;Frozen fish
15229000;9;Tiefgekühlte Fischerzeugnisse;Frozen fish products
15230000;9;"Getrockneter oder gesalzener Fisch; Fisch in Salzlake; Räucherfisch";"Dried or salted fish; fish in brine; smoked fish"
15231000;6;Getrockneter Fisch;Dried fish
15232000;3;Gesalzener Fisch;Salted fish
15233000;0;Fisch in Salzlake;Fish in brine
15234000;7;Räucherfisch;Smoked fish
15235000;4;Fischkonserven;Preserved fish
15240000;2;Fischkonserven oder Dosenfisch und anders zubereiteter oder haltbar gemachter Fisch;Canned or tinned fish and other prepared or preserved fish
15241000;9;Panierter Fisch, Fischkonserven oder Dosenfisch;Coated, canned or tinned fish
15241100;0;Lachskonserven;Canned salmon
15241200;1;Zubereiteter Hering oder Heringkonserven;Prepared or preserved herring
15241300;2;Sardinen;Sardines
15241400;3;Thunfischkonserven;Canned tuna
15241500;4;Makrelen;Mackerel
15241600;5;Sardellen;Anchovies
